condition	seed	template	benchmark	data_lang	instr_lang	extractor	gold	n_gold	pred_entailment	pred_neutral	pred_contradiction	pred_none	acc_on_gold	via_tier1a_english	via_tier1b_native	via_tier2_glued	via_tier3_paraphrase	tier2_pred_entailment	tier2_cjk_frame
condition-1-en-5k	42	1	xnli	zh	zh	refined	contradiction	1670	1628	0	42	0	0.0251	1628	42	0	0	0	0
condition-1-en-5k	42	1	xnli	zh	zh	refined	neutral	1670	1633	0	37	0	0.0000	1633	37	0	0	0	0
condition-1-en-5k	42	2	xnli	en	en	refined	entailment	1670	71	218	1378	3	0.0425	1667	0	0	0	0	0
condition-1-en-5k	42	2	xnli	en	en	refined	contradiction	1670	2	100	1567	1	0.9383	1669	0	0	0	0	0
condition-1-en-5k	42	2	xnli	en	en	refined	neutral	1670	21	110	1539	0	0.0659	1670	0	0	0	0	0
condition-1-en-5k	42	2	xnli	en	es	refined	entailment	1670	384	777	503	6	0.2299	1601	63	0	0	0	0
condition-1-en-5k	42	2	xnli	en	es	refined	contradiction	1670	66	681	922	1	0.5521	1568	101	0	0	0	0
condition-1-en-5k	42	2	xnli	en	es	refined	neutral	1670	301	638	729	2	0.3820	1583	85	0	0	0	0
condition-1-en-5k	42	2	xnli	en	ur	refined	entailment	1670	170	514	311	675	0.1018	837	0	0	158	0	0
condition-1-en-5k	42	2	xnli	en	ur	refined	contradiction	1670	130	346	748	446	0.4479	1067	0	0	157	0	0
condition-1-en-5k	42	2	xnli	en	ur	refined	neutral	1670	234	435	524	477	0.2605	1016	0	0	177	0	0
condition-1-en-5k	42	2	xnli	en	zh	refined	entailment	1670	1517	19	39	95	0.9084	1049	18	17	491	17	17
condition-1-en-5k	42	2	xnli	en	zh	refined	contradiction	1670	1047	13	442	168	0.2647	892	105	19	486	19	19
condition-1-en-5k	42	2	xnli	en	zh	refined	neutral	1670	1500	13	63	94	0.0078	1051	27	23	475	23	23
condition-1-en-5k	42	2	xnli	es	en	refined	entailment	1670	92	231	1330	17	0.0551	1652	1	0	0	0	0
condition-1-en-5k	42	2	xnli	es	en	refined	contradiction	1670	31	125	1507	7	0.9024	1663	0	0	0	0	0
condition-1-en-5k	42	2	xnli	es	en	refined	neutral	1670	54	143	1461	12	0.0856	1657	1	0	0	0	0
condition-1-en-5k	42	2	xnli	es	es	refined	entailment	1670	320	166	1176	8	0.1916	485	1177	0	0	0	0
condition-1-en-5k	42	2	xnli	es	es	refined	contradiction	1670	100	93	1477	0	0.8844	193	1477	0	0	0	0
condition-1-en-5k	42	2	xnli	es	es	refined	neutral	1670	243	91	1332	4	0.0545	334	1332	0	0	0	0
condition-1-en-5k	42	2	xnli	es	ur	refined	entailment	1670	309	206	833	322	0.1850	1306	0	0	42	0	0
condition-1-en-5k	42	2	xnli	es	ur	refined	contradiction	1670	201	112	1218	139	0.7293	1488	0	0	43	0	0
condition-1-en-5k	42	2	xnli	es	ur	refined	neutral	1670	322	122	1048	178	0.0731	1448	0	0	44	0	0
condition-1-en-5k	42	2	xnli	es	zh	refined	entailment	1670	1216	29	89	336	0.7281	444	67	66	757	66	66
condition-1-en-5k	42	2	xnli	es	zh	refined	contradiction	1670	715	25	544	386	0.3257	403	188	65	628	65	65
condition-1-en-5k	42	2	xnli	es	zh	refined	neutral	1670	1127	17	127	399	0.0102	456	84	74	657	74	74
condition-1-en-5k	42	2	xnli	ur	en	refined	entailment	1670	1	31	1623	15	0.0006	1655	0	0	0	0	0
condition-1-en-5k	42	2	xnli	ur	en	refined	contradiction	1670	0	16	1654	0	0.9904	1670	0	0	0	0	0
condition-1-en-5k	42	2	xnli	ur	en	refined	neutral	1670	4	11	1642	13	0.0066	1656	1	0	0	0	0
condition-1-en-5k	42	2	xnli	ur	es	refined	entailment	1670	443	175	977	75	0.2653	937	658	0	0	0	0
condition-1-en-5k	42	2	xnli	ur	es	refined	contradiction	1670	197	131	1313	29	0.7862	848	793	0	0	0	0
condition-1-en-5k	42	2	xnli	ur	es	refined	neutral	1670	445	139	1045	41	0.0832	953	676	0	0	0	0
condition-1-en-5k	42	2	xnli	ur	ur	refined	entailment	1670	1165	247	150	108	0.6976	1345	2	0	215	0	0
condition-1-en-5k	42	2	xnli	ur	ur	refined	contradiction	1670	1128	222	224	96	0.1341	1370	2	0	202	0	0
condition-1-en-5k	42	2	xnli	ur	ur	refined	neutral	1670	1213	251	110	96	0.1503	1341	2	0	231	0	0
condition-1-en-5k	42	2	xnli	ur	zh	refined	entailment	1670	1350	41	2	277	0.8084	1326	2	14	51	14	14
condition-1-en-5k	42	2	xnli	ur	zh	refined	contradiction	1670	1359	39	6	266	0.0036	1347	4	10	43	10	10
condition-1-en-5k	42	2	xnli	ur	zh	refined	neutral	1670	1408	21	0	241	0.0126	1367	3	18	41	18	18
condition-1-en-5k	42	2	xnli	zh	en	refined	entailment	1670	562	0	1093	15	0.3365	1589	66	0	0	0	0
condition-1-en-5k	42	2	xnli	zh	en	refined	contradiction	1670	94	0	1573	3	0.9419	1627	40	0	0	0	0
condition-1-en-5k	42	2	xnli	zh	en	refined	neutral	1670	341	0	1323	6	0.0000	1615	49	0	0	0	0
condition-1-en-5k	42	2	xnli	zh	es	refined	entailment	1670	1594	5	48	23	0.9545	1599	48	0	0	0	0
condition-1-en-5k	42	2	xnli	zh	es	refined	contradiction	1670	1363	44	252	11	0.1509	1408	251	0	0	0	0
condition-1-en-5k	42	2	xnli	zh	es	refined	neutral	1670	1608	2	45	15	0.0012	1610	45	0	0	0	0
condition-1-en-5k	42	2	xnli	zh	ur	refined	entailment	1670	1627	17	7	19	0.9743	1638	0	0	13	0	0
condition-1-en-5k	42	2	xnli	zh	ur	refined	contradiction	1670	1610	9	42	9	0.0251	1654	0	0	7	0	0
condition-1-en-5k	42	2	xnli	zh	ur	refined	neutral	1670	1635	19	8	8	0.0114	1644	0	0	18	0	0
condition-1-en-5k	42	2	xnli	zh	zh	refined	entailment	1670	1027	30	197	416	0.6150	86	168	257	743	257	257
condition-1-en-5k	42	2	xnli	zh	zh	refined	contradiction	1670	575	12	491	592	0.2940	83	289	293	413	293	293
condition-1-en-5k	42	2	xnli	zh	zh	refined	neutral	1670	1023	6	266	375	0.0036	81	218	327	669	327	327
condition-1-en-5k	456	1	xnli	en	en	refined	entailment	1670	1472	48	149	1	0.8814	1669	0	0	0	0	0
condition-1-en-5k	456	1	xnli	en	en	refined	contradiction	1670	453	95	1122	0	0.6719	1670	0	0	0	0	0
condition-1-en-5k	456	1	xnli	en	en	refined	neutral	1670	1294	39	337	0	0.0234	1670	0	0	0	0	0
condition-1-en-5k	456	1	xnli	en	es	refined	entailment	1670	1652	1	17	0	0.9892	1666	4	0	0	0	0
condition-1-en-5k	456	1	xnli	en	es	refined	contradiction	1670	1201	35	433	1	0.2593	1660	9	0	0	0	0
condition-1-en-5k	456	1	xnli	en	es	refined	neutral	1670	1631	0	39	0	0.0000	1670	0	0	0	0	0
condition-1-en-5k	456	1	xnli	en	ur	refined	entailment	1670	1578	19	71	2	0.9449	1666	1	0	1	0	0
condition-1-en-5k	456	1	xnli	en	ur	refined	contradiction	1670	1126	24	520	0	0.3114	1670	0	0	0	0	0
condition-1-en-5k	456	1	xnli	en	ur	refined	neutral	1670	1602	6	61	1	0.0036	1668	1	0	0	0	0
condition-1-en-5k	456	1	xnli	en	zh	refined	entailment	1670	1668	2	0	0	0.9988	1670	0	0	0	0	0
condition-1-en-5k	456	1	xnli	en	zh	refined	contradiction	1670	1656	8	6	0	0.0036	1669	1	0	0	0	0
condition-1-en-5k	456	1	xnli	en	zh	refined	neutral	1670	1669	0	1	0	0.0000	1669	1	0	0	0	0
condition-1-en-5k	456	1	xnli	es	en	refined	entailment	1670	1464	107	99	0	0.8766	1670	0	0	0	0	0
condition-1-en-5k	456	1	xnli	es	en	refined	contradiction	1670	620	239	811	0	0.4856	1670	0	0	0	0	0
condition-1-en-5k	456	1	xnli	es	en	refined	neutral	1670	1378	88	204	0	0.0527	1670	0	0	0	0	0
condition-1-en-5k	456	1	xnli	es	es	refined	entailment	1670	1512	3	155	0	0.9054	1515	155	0	0	0	0
condition-1-en-5k	456	1	xnli	es	es	refined	contradiction	1670	841	11	818	0	0.4898	852	818	0	0	0	0
condition-1-en-5k	456	1	xnli	es	es	refined	neutral	1670	1420	1	248	1	0.0006	1421	248	0	0	0	0
condition-1-en-5k	456	1	xnli	es	ur	refined	entailment	1670	1640	1	25	4	0.9820	1665	1	0	0	0	0
condition-1-en-5k	456	1	xnli	es	ur	refined	contradiction	1670	1543	11	116	0	0.0695	1669	1	0	0	0	0
condition-1-en-5k	456	1	xnli	es	ur	refined	neutral	1670	1650	0	19	1	0.0000	1668	1	0	0	0	0
condition-1-en-5k	456	1	xnli	es	zh	refined	entailment	1670	1668	1	1	0	0.9988	1669	1	0	0	0	0
condition-1-en-5k	456	1	xnli	es	zh	refined	contradiction	1670	1655	6	9	0	0.0054	1661	9	0	0	0	0
condition-1-en-5k	456	1	xnli	es	zh	refined	neutral	1670	1668	1	1	0	0.0006	1669	1	0	0	0	0
condition-1-en-5k	456	1	xnli	ur	en	refined	entailment	1670	1088	174	408	0	0.6515	1670	0	0	0	0	0
condition-1-en-5k	456	1	xnli	ur	en	refined	contradiction	1670	540	151	979	0	0.5862	1670	0	0	0	0	0
condition-1-en-5k	456	1	xnli	ur	en	refined	neutral	1670	1015	139	516	0	0.0832	1670	0	0	0	0	0
condition-1-en-5k	456	1	xnli	ur	es	refined	entailment	1670	1611	0	59	0	0.9647	1664	6	0	0	0	0
condition-1-en-5k	456	1	xnli	ur	es	refined	contradiction	1670	1343	6	321	0	0.1922	1663	7	0	0	0	0
condition-1-en-5k	456	1	xnli	ur	es	refined	neutral	1670	1594	0	75	1	0.0000	1662	7	0	0	0	0
condition-1-en-5k	456	1	xnli	ur	ur	refined	entailment	1670	1648	0	11	11	0.9868	1656	3	0	0	0	0
condition-1-en-5k	456	1	xnli	ur	ur	refined	contradiction	1670	1636	10	18	6	0.0108	1662	2	0	0	0	0
condition-1-en-5k	456	1	xnli	ur	ur	refined	neutral	1670	1660	0	5	5	0.0000	1662	3	0	0	0	0
condition-1-en-5k	456	1	xnli	ur	zh	refined	entailment	1670	1652	16	2	0	0.9892	1668	2	0	0	0	0
condition-1-en-5k	456	1	xnli	ur	zh	refined	contradiction	1670	1638	25	6	1	0.0036	1663	6	0	0	0	0
condition-1-en-5k	456	1	xnli	ur	zh	refined	neutral	1670	1655	11	2	2	0.0066	1666	2	0	0	0	0
condition-1-en-5k	456	1	xnli	zh	en	refined	entailment	1670	1650	0	20	0	0.9880	1670	0	0	0	0	0
condition-1-en-5k	456	1	xnli	zh	en	refined	contradiction	1670	1269	8	393	0	0.2353	1670	0	0	0	0	0
condition-1-en-5k	456	1	xnli	zh	en	refined	neutral	1670	1630	0	40	0	0.0000	1670	0	0	0	0	0
condition-1-en-5k	456	1	xnli	zh	es	refined	entailment	1670	1670	0	0	0	1.0000	1670	0	0	0	0	0
condition-1-en-5k	456	1	xnli	zh	es	refined	contradiction	1670	1670	0	0	0	0.0000	1670	0	0	0	0	0
condition-1-en-5k	456	1	xnli	zh	es	refined	neutral	1670	1670	0	0	0	0.0000	1670	0	0	0	0	0
condition-1-en-5k	456	1	xnli	zh	ur	refined	entailment	1670	1668	0	2	0	0.9988	1670	0	0	0	0	0
condition-1-en-5k	456	1	xnli	zh	ur	refined	contradiction	1670	1645	4	21	0	0.0126	1670	0	0	0	0	0
condition-1-en-5k	456	1	xnli	zh	ur	refined	neutral	1670	1667	0	3	0	0.0000	1670	0	0	0	0	0
condition-1-en-5k	456	1	xnli	zh	zh	refined	entailment	1670	1575	0	94	1	0.9431	1574	95	0	0	0	0
condition-1-en-5k	456	1	xnli	zh	zh	refined	contradiction	1670	1544	0	126	0	0.0754	1544	126	0	0	0	0
condition-1-en-5k	456	1	xnli	zh	zh	refined	neutral	1670	1586	0	84	0	0.0000	1586	84	0	0	0	0
condition-1-en-5k	456	2	xnli	en	en	refined	entailment	1670	91	331	1246	2	0.0545	1668	0	0	0	0	0
condition-1-en-5k	456	2	xnli	en	en	refined	contradiction	1670	3	172	1494	1	0.8946	1669	0	0	0	0	0
condition-1-en-5k	456	2	xnli	en	en	refined	neutral	1670	28	213	1429	0	0.1275	1670	0	0	0	0	0
condition-1-en-5k	456	2	xnli	en	es	refined	entailment	1670	390	785	489	6	0.2335	1526	138	0	0	0	0
condition-1-en-5k	456	2	xnli	en	es	refined	contradiction	1670	73	672	925	0	0.5539	1444	226	0	0	0	0
condition-1-en-5k	456	2	xnli	en	es	refined	neutral	1670	307	646	715	2	0.3868	1485	183	0	0	0	0
condition-1-en-5k	456	2	xnli	en	ur	refined	entailment	1670	135	459	271	805	0.0808	689	0	0	176	0	0
condition-1-en-5k	456	2	xnli	en	ur	refined	contradiction	1670	97	339	683	551	0.4090	924	0	0	195	0	0
condition-1-en-5k	456	2	xnli	en	ur	refined	neutral	1670	182	391	469	628	0.2341	847	0	0	195	0	0
condition-1-en-5k	456	2	xnli	en	zh	refined	entailment	1670	1438	26	43	163	0.8611	818	15	17	657	17	17
condition-1-en-5k	456	2	xnli	en	zh	refined	contradiction	1670	856	21	485	308	0.2904	659	86	25	592	25	25
condition-1-en-5k	456	2	xnli	en	zh	refined	neutral	1670	1412	15	66	177	0.0090	832	23	22	616	22	22
condition-1-en-5k	456	2	xnli	es	en	refined	entailment	1670	108	323	1222	17	0.0647	1652	1	0	0	0	0
condition-1-en-5k	456	2	xnli	es	en	refined	contradiction	1670	29	185	1454	2	0.8707	1668	0	0	0	0	0
condition-1-en-5k	456	2	xnli	es	en	refined	neutral	1670	60	220	1380	10	0.1317	1659	1	0	0	0	0
condition-1-en-5k	456	2	xnli	es	es	refined	entailment	1670	293	142	1225	10	0.1754	434	1226	0	0	0	0
condition-1-en-5k	456	2	xnli	es	es	refined	contradiction	1670	87	79	1504	0	0.9006	166	1504	0	0	0	0
condition-1-en-5k	456	2	xnli	es	es	refined	neutral	1670	224	74	1367	5	0.0443	298	1367	0	0	0	0
condition-1-en-5k	456	2	xnli	es	ur	refined	entailment	1670	273	181	807	409	0.1635	1215	0	0	46	0	0
condition-1-en-5k	456	2	xnli	es	ur	refined	contradiction	1670	172	110	1200	188	0.7186	1432	0	0	50	0	0
condition-1-en-5k	456	2	xnli	es	ur	refined	neutral	1670	285	109	1041	235	0.0653	1389	0	0	46	0	0
condition-1-en-5k	456	2	xnli	es	zh	refined	entailment	1670	1129	33	62	446	0.6760	319	38	93	774	93	93
condition-1-en-5k	456	2	xnli	es	zh	refined	contradiction	1670	595	36	494	545	0.2958	288	139	80	618	80	80
condition-1-en-5k	456	2	xnli	es	zh	refined	neutral	1670	1026	23	97	524	0.0138	316	48	82	700	82	82
condition-1-en-5k	456	2	xnli	ur	en	refined	entailment	1670	0	47	1600	23	0.0000	1647	0	0	0	0	0
condition-1-en-5k	456	2	xnli	ur	en	refined	contradiction	1670	0	25	1645	0	0.9850	1670	0	0	0	0	0
condition-1-en-5k	456	2	xnli	ur	en	refined	neutral	1670	4	21	1627	18	0.0126	1651	1	0	0	0	0
condition-1-en-5k	456	2	xnli	ur	es	refined	entailment	1670	365	150	1015	140	0.2186	723	807	0	0	0	0
condition-1-en-5k	456	2	xnli	ur	es	refined	contradiction	1670	166	107	1340	57	0.8024	641	972	0	0	0	0
condition-1-en-5k	456	2	xnli	ur	es	refined	neutral	1670	374	124	1083	89	0.0743	752	829	0	0	0	0
condition-1-en-5k	456	2	xnli	ur	ur	refined	entailment	1670	1083	299	166	122	0.6485	1294	2	0	252	0	0
condition-1-en-5k	456	2	xnli	ur	ur	refined	contradiction	1670	1048	259	262	101	0.1569	1335	2	0	232	0	0
condition-1-en-5k	456	2	xnli	ur	ur	refined	neutral	1670	1163	276	126	105	0.1653	1307	2	0	256	0	0
condition-1-en-5k	456	2	xnli	ur	zh	refined	entailment	1670	1305	43	3	319	0.7814	1263	3	22	63	22	22
condition-1-en-5k	456	2	xnli	ur	zh	refined	contradiction	1670	1307	37	8	318	0.0048	1283	4	20	45	20	20
condition-1-en-5k	456	2	xnli	ur	zh	refined	neutral	1670	1364	21	0	285	0.0126	1321	1	27	36	27	27
condition-1-en-5k	456	2	xnli	zh	en	refined	entailment	1670	647	0	1011	12	0.3874	1591	67	0	0	0	0
condition-1-en-5k	456	2	xnli	zh	en	refined	contradiction	1670	114	1	1552	3	0.9293	1631	36	0	0	0	0
condition-1-en-5k	456	2	xnli	zh	en	refined	neutral	1670	433	0	1232	5	0.0000	1614	51	0	0	0	0
condition-1-en-5k	456	2	xnli	zh	es	refined	entailment	1670	1574	5	64	27	0.9425	1579	64	0	0	0	0
condition-1-en-5k	456	2	xnli	zh	es	refined	contradiction	1670	1309	41	306	14	0.1832	1351	305	0	0	0	0
condition-1-en-5k	456	2	xnli	zh	es	refined	neutral	1670	1590	2	59	19	0.0012	1592	59	0	0	0	0
condition-1-en-5k	456	2	xnli	zh	ur	refined	entailment	1670	1611	25	11	23	0.9647	1627	0	0	20	0	0
condition-1-en-5k	456	2	xnli	zh	ur	refined	contradiction	1670	1590	15	51	14	0.0305	1643	0	0	13	0	0
condition-1-en-5k	456	2	xnli	zh	ur	refined	neutral	1670	1619	22	13	16	0.0132	1635	0	0	19	0	0
condition-1-en-5k	456	2	xnli	zh	zh	refined	entailment	1670	953	28	130	559	0.5707	55	114	243	699	243	243
condition-1-en-5k	456	2	xnli	zh	zh	refined	contradiction	1670	492	12	415	751	0.2485	60	231	237	391	237	237
condition-1-en-5k	456	2	xnli	zh	zh	refined	neutral	1670	944	7	200	519	0.0042	50	162	295	644	295	295
condition-2-es-5k	123	1	xnli	en	en	refined	entailment	1670	1526	39	104	1	0.9138	1669	0	0	0	0	0
condition-2-es-5k	123	1	xnli	en	en	refined	contradiction	1670	517	88	1065	0	0.6377	1670	0	0	0	0	0
condition-2-es-5k	123	1	xnli	en	en	refined	neutral	1670	1370	36	264	0	0.0216	1670	0	0	0	0	0
condition-2-es-5k	123	1	xnli	en	es	refined	entailment	1670	1574	11	85	0	0.9425	1670	0	0	0	0	0
condition-2-es-5k	123	1	xnli	en	es	refined	contradiction	1670	739	90	840	1	0.5030	1669	0	0	0	0	0
condition-2-es-5k	123	1	xnli	en	es	refined	neutral	1670	1482	11	177	0	0.0066	1670	0	0	0	0	0
condition-2-es-5k	123	1	xnli	es	en	refined	entailment	1670	1463	106	101	0	0.8760	1670	0	0	0	0	0
condition-2-es-5k	123	1	xnli	es	en	refined	contradiction	1670	597	239	834	0	0.4994	1670	0	0	0	0	0
condition-2-es-5k	123	1	xnli	es	en	refined	neutral	1670	1360	86	224	0	0.0515	1670	0	0	0	0	0
condition-2-es-5k	123	1	xnli	es	es	refined	entailment	1670	1468	14	188	0	0.8790	1512	158	0	0	0	0
condition-2-es-5k	123	1	xnli	es	es	refined	contradiction	1670	738	41	891	0	0.5335	1083	587	0	0	0	0
condition-2-es-5k	123	1	xnli	es	es	refined	neutral	1670	1359	6	305	0	0.0036	1425	245	0	0	0	0
condition-2-es-5k	123	1	xnli	ur	en	refined	entailment	1670	995	174	501	0	0.5958	1670	0	0	0	0	0
condition-2-es-5k	123	1	xnli	ur	en	refined	contradiction	1670	457	121	1092	0	0.6539	1670	0	0	0	0	0
condition-2-es-5k	123	1	xnli	ur	en	refined	neutral	1670	902	136	632	0	0.0814	1670	0	0	0	0	0
condition-2-es-5k	123	1	xnli	ur	es	refined	entailment	1670	1158	13	499	0	0.6934	1670	0	0	0	0	0
condition-2-es-5k	123	1	xnli	ur	es	refined	contradiction	1670	607	19	1044	0	0.6251	1670	0	0	0	0	0
condition-2-es-5k	123	1	xnli	ur	es	refined	neutral	1670	1085	5	580	0	0.0030	1670	0	0	0	0	0
condition-2-es-5k	123	1	xnli	zh	en	refined	entailment	1670	1637	1	32	0	0.9802	1670	0	0	0	0	0
condition-2-es-5k	123	1	xnli	zh	en	refined	contradiction	1670	1175	18	477	0	0.2856	1670	0	0	0	0	0
condition-2-es-5k	123	1	xnli	zh	en	refined	neutral	1670	1614	1	55	0	0.0006	1670	0	0	0	0	0
condition-2-es-5k	123	1	xnli	zh	es	refined	entailment	1670	1663	0	7	0	0.9958	1670	0	0	0	0	0
condition-2-es-5k	123	1	xnli	zh	es	refined	contradiction	1670	1572	1	97	0	0.0581	1670	0	0	0	0	0
condition-2-es-5k	123	1	xnli	zh	es	refined	neutral	1670	1662	0	8	0	0.0000	1670	0	0	0	0	0
condition-2-es-5k	123	2	xnli	en	en	refined	entailment	1670	153	285	1228	4	0.0916	1666	0	0	0	0	0
condition-2-es-5k	123	2	xnli	en	en	refined	contradiction	1670	4	202	1464	0	0.8766	1670	0	0	0	0	0
condition-2-es-5k	123	2	xnli	en	en	refined	neutral	1670	37	196	1436	1	0.1174	1669	0	0	0	0	0
condition-2-es-5k	123	2	xnli	en	es	refined	entailment	1670	308	1163	199	0	0.1844	1670	0	0	0	0	0
condition-2-es-5k	123	2	xnli	en	es	refined	contradiction	1670	35	1168	467	0	0.2796	1670	0	0	0	0	0
condition-2-es-5k	123	2	xnli	en	es	refined	neutral	1670	207	1141	322	0	0.6832	1670	0	0	0	0	0
condition-2-es-5k	123	2	xnli	es	en	refined	entailment	1670	103	275	1281	11	0.0617	1659	0	0	0	0	0
condition-2-es-5k	123	2	xnli	es	en	refined	contradiction	1670	14	153	1502	1	0.8994	1669	0	0	0	0	0
condition-2-es-5k	123	2	xnli	es	en	refined	neutral	1670	43	176	1442	9	0.1054	1660	1	0	0	0	0
condition-2-es-5k	123	2	xnli	es	es	refined	entailment	1670	284	684	699	3	0.1701	970	697	0	0	0	0
condition-2-es-5k	123	2	xnli	es	es	refined	contradiction	1670	77	515	1078	0	0.6455	602	1068	0	0	0	0
condition-2-es-5k	123	2	xnli	es	es	refined	neutral	1670	231	539	899	1	0.3228	771	898	0	0	0	0
condition-2-es-5k	123	2	xnli	ur	en	refined	entailment	1670	1	43	1608	18	0.0006	1652	0	0	0	0	0
condition-2-es-5k	123	2	xnli	ur	en	refined	contradiction	1670	0	26	1644	0	0.9844	1670	0	0	0	0	0
condition-2-es-5k	123	2	xnli	ur	en	refined	neutral	1670	1	26	1628	15	0.0156	1655	0	0	0	0	0
condition-2-es-5k	123	2	xnli	ur	es	refined	entailment	1670	283	526	861	0	0.1695	1670	0	0	0	0	0
condition-2-es-5k	123	2	xnli	ur	es	refined	contradiction	1670	90	347	1233	0	0.7383	1670	0	0	0	0	0
condition-2-es-5k	123	2	xnli	ur	es	refined	neutral	1670	228	465	974	3	0.2784	1666	1	0	0	0	0
condition-2-es-5k	123	2	xnli	zh	en	refined	entailment	1670	528	3	1134	5	0.3162	1660	5	0	0	0	0
condition-2-es-5k	123	2	xnli	zh	en	refined	contradiction	1670	72	1	1597	0	0.9563	1668	2	0	0	0	0
condition-2-es-5k	123	2	xnli	zh	en	refined	neutral	1670	286	1	1383	0	0.0006	1665	5	0	0	0	0
condition-2-es-5k	123	2	xnli	zh	es	refined	entailment	1670	1512	131	22	5	0.9054	1662	3	0	0	0	0
condition-2-es-5k	123	2	xnli	zh	es	refined	contradiction	1670	1191	283	194	2	0.1162	1649	19	0	0	0	0
condition-2-es-5k	123	2	xnli	zh	es	refined	neutral	1670	1573	77	19	1	0.0461	1666	3	0	0	0	0
condition-2-es-5k	42	1	xnli	en	en	refined	entailment	1670	1473	43	153	1	0.8820	1669	0	0	0	0	0
condition-2-es-5k	42	1	xnli	en	en	refined	contradiction	1670	442	80	1148	0	0.6874	1670	0	0	0	0	0
condition-2-es-5k	42	1	xnli	en	en	refined	neutral	1670	1283	30	357	0	0.0180	1670	0	0	0	0	0
condition-2-es-5k	42	1	xnli	en	es	refined	entailment	1670	1553	4	113	0	0.9299	1670	0	0	0	0	0
condition-2-es-5k	42	1	xnli	en	es	refined	contradiction	1670	647	30	993	0	0.5946	1670	0	0	0	0	0
condition-2-es-5k	42	1	xnli	en	es	refined	neutral	1670	1426	4	240	0	0.0024	1670	0	0	0	0	0
condition-2-es-5k	42	1	xnli	es	en	refined	entailment	1670	1402	115	153	0	0.8395	1670	0	0	0	0	0
condition-2-es-5k	42	1	xnli	es	en	refined	contradiction	1670	490	210	970	0	0.5808	1670	0	0	0	0	0
condition-2-es-5k	42	1	xnli	es	en	refined	neutral	1670	1258	99	313	0	0.0593	1670	0	0	0	0	0
condition-2-es-5k	42	1	xnli	es	es	refined	entailment	1670	1524	5	140	1	0.9126	1582	87	0	0	0	0
condition-2-es-5k	42	1	xnli	es	es	refined	contradiction	1670	785	26	859	0	0.5144	1335	335	0	0	0	0
condition-2-es-5k	42	1	xnli	es	es	refined	neutral	1670	1421	3	246	0	0.0018	1528	142	0	0	0	0
condition-2-es-5k	42	1	xnli	ur	en	refined	entailment	1670	946	187	537	0	0.5665	1670	0	0	0	0	0
condition-2-es-5k	42	1	xnli	ur	en	refined	contradiction	1670	394	131	1145	0	0.6856	1670	0	0	0	0	0
condition-2-es-5k	42	1	xnli	ur	en	refined	neutral	1670	857	148	665	0	0.0886	1670	0	0	0	0	0
condition-2-es-5k	42	1	xnli	ur	es	refined	entailment	1670	1207	3	460	0	0.7228	1670	0	0	0	0	0
condition-2-es-5k	42	1	xnli	ur	es	refined	contradiction	1670	648	10	1012	0	0.6060	1670	0	0	0	0	0
condition-2-es-5k	42	1	xnli	ur	es	refined	neutral	1670	1152	1	517	0	0.0006	1670	0	0	0	0	0
condition-2-es-5k	42	1	xnli	zh	en	refined	entailment	1670	1616	1	53	0	0.9677	1670	0	0	0	0	0
condition-2-es-5k	42	1	xnli	zh	en	refined	contradiction	1670	1088	14	568	0	0.3401	1670	0	0	0	0	0
condition-2-es-5k	42	1	xnli	zh	en	refined	neutral	1670	1596	0	74	0	0.0000	1670	0	0	0	0	0
condition-2-es-5k	42	1	xnli	zh	es	refined	entailment	1670	1657	0	13	0	0.9922	1670	0	0	0	0	0
condition-2-es-5k	42	1	xnli	zh	es	refined	contradiction	1670	1489	2	179	0	0.1072	1670	0	0	0	0	0
condition-2-es-5k	42	1	xnli	zh	es	refined	neutral	1670	1660	0	10	0	0.0000	1670	0	0	0	0	0
condition-2-es-5k	42	2	xnli	en	en	refined	entailment	1670	94	219	1355	2	0.0563	1668	0	0	0	0	0
condition-2-es-5k	42	2	xnli	en	en	refined	contradiction	1670	3	122	1544	1	0.9246	1669	0	0	0	0	0
condition-2-es-5k	42	2	xnli	en	en	refined	neutral	1670	21	128	1521	0	0.0766	1670	0	0	0	0	0
condition-2-es-5k	42	2	xnli	en	es	refined	entailment	1670	476	901	293	0	0.2850	1670	0	0	0	0	0
condition-2-es-5k	42	2	xnli	en	es	refined	contradiction	1670	51	872	747	0	0.4473	1670	0	0	0	0	0
condition-2-es-5k	42	2	xnli	en	es	refined	neutral	1670	353	844	473	0	0.5054	1670	0	0	0	0	0
condition-2-es-5k	42	2	xnli	es	en	refined	entailment	1670	70	171	1417	12	0.0419	1658	0	0	0	0	0
condition-2-es-5k	42	2	xnli	es	en	refined	contradiction	1670	11	69	1587	3	0.9503	1667	0	0	0	0	0
condition-2-es-5k	42	2	xnli	es	en	refined	neutral	1670	39	88	1534	9	0.0527	1660	1	0	0	0	0
condition-2-es-5k	42	2	xnli	es	es	refined	entailment	1670	427	635	605	3	0.2557	1064	603	0	0	0	0
condition-2-es-5k	42	2	xnli	es	es	refined	contradiction	1670	113	499	1057	1	0.6329	629	1040	0	0	0	0
condition-2-es-5k	42	2	xnli	es	es	refined	neutral	1670	359	528	781	2	0.3162	889	779	0	0	0	0
condition-2-es-5k	42	2	xnli	ur	en	refined	entailment	1670	1	37	1614	18	0.0006	1652	0	0	0	0	0
