condition	seed	template	benchmark	data_lang	instr_lang	extractor	gold_category	n_gold	correct	acc_on_gold	pred_science_technology	pred_travel	pred_politics	pred_sports	pred_health	pred_entertainment	pred_geography	pred_none
condition-2-ur-5k	123	1	sib200	zh	ur	refined	health	22	8	0.3636	0	0	1	2	8	0	0	11
condition-2-ur-5k	123	1	sib200	zh	ur	refined	entertainment	19	11	0.5789	7	1	0	0	0	11	0	0
condition-2-ur-5k	123	1	sib200	zh	ur	refined	geography	17	7	0.4118	9	0	0	0	0	0	7	1
condition-2-ur-5k	123	2	sib200	en	en	refined	science/technology	51	50	0.9804	50	0	1	0	0	0	0	0
condition-2-ur-5k	123	2	sib200	en	en	refined	travel	40	29	0.7250	7	29	4	0	0	0	0	0
condition-2-ur-5k	123	2	sib200	en	en	refined	politics	30	30	1.0000	0	0	30	0	0	0	0	0
condition-2-ur-5k	123	2	sib200	en	en	refined	sports	25	15	0.6000	4	1	4	15	1	0	0	0
condition-2-ur-5k	123	2	sib200	en	en	refined	health	22	5	0.2273	15	0	1	1	5	0	0	0
condition-2-ur-5k	123	2	sib200	en	en	refined	entertainment	19	3	0.1579	12	2	2	0	0	3	0	0
condition-2-ur-5k	123	2	sib200	en	en	refined	geography	17	8	0.4706	9	0	0	0	0	0	8	0
condition-2-ur-5k	123	2	sib200	en	ur	refined	science/technology	51	42	0.8235	42	1	1	0	0	0	2	5
condition-2-ur-5k	123	2	sib200	en	ur	refined	travel	40	29	0.7250	0	29	1	0	0	0	7	3
condition-2-ur-5k	123	2	sib200	en	ur	refined	politics	30	28	0.9333	1	0	28	0	0	0	1	0
condition-2-ur-5k	123	2	sib200	en	ur	refined	sports	25	16	0.6400	0	2	6	16	0	0	0	1
condition-2-ur-5k	123	2	sib200	en	ur	refined	health	22	7	0.3182	8	0	3	1	7	0	1	2
condition-2-ur-5k	123	2	sib200	en	ur	refined	entertainment	19	8	0.4211	4	2	2	0	0	8	1	2
condition-2-ur-5k	123	2	sib200	en	ur	refined	geography	17	14	0.8235	3	0	0	0	0	0	14	0
condition-2-ur-5k	123	2	sib200	es	en	refined	science/technology	51	50	0.9804	50	0	1	0	0	0	0	0
condition-2-ur-5k	123	2	sib200	es	en	refined	travel	40	25	0.6250	8	25	7	0	0	0	0	0
condition-2-ur-5k	123	2	sib200	es	en	refined	politics	30	30	1.0000	0	0	30	0	0	0	0	0
condition-2-ur-5k	123	2	sib200	es	en	refined	sports	25	15	0.6000	3	2	3	15	2	0	0	0
condition-2-ur-5k	123	2	sib200	es	en	refined	health	22	6	0.2727	14	0	1	1	6	0	0	0
condition-2-ur-5k	123	2	sib200	es	en	refined	entertainment	19	3	0.1579	9	1	5	0	0	3	1	0
condition-2-ur-5k	123	2	sib200	es	en	refined	geography	17	6	0.3529	10	1	0	0	0	0	6	0
condition-2-ur-5k	123	2	sib200	es	ur	refined	science/technology	51	43	0.8431	43	1	3	0	0	0	0	4
condition-2-ur-5k	123	2	sib200	es	ur	refined	travel	40	23	0.5750	6	23	4	0	0	0	4	3
condition-2-ur-5k	123	2	sib200	es	ur	refined	politics	30	27	0.9000	0	0	27	0	0	0	1	2
condition-2-ur-5k	123	2	sib200	es	ur	refined	sports	25	18	0.7200	0	0	5	18	1	0	1	0
condition-2-ur-5k	123	2	sib200	es	ur	refined	health	22	6	0.2727	9	0	6	1	6	0	0	0
condition-2-ur-5k	123	2	sib200	es	ur	refined	entertainment	19	5	0.2632	6	0	5	0	0	5	1	2
condition-2-ur-5k	123	2	sib200	es	ur	refined	geography	17	13	0.7647	4	0	0	0	0	0	13	0
condition-2-ur-5k	123	2	sib200	ur	en	refined	science/technology	51	49	0.9608	49	0	2	0	0	0	0	0
condition-2-ur-5k	123	2	sib200	ur	en	refined	travel	40	22	0.5500	9	22	9	0	0	0	0	0
condition-2-ur-5k	123	2	sib200	ur	en	refined	politics	30	29	0.9667	1	0	29	0	0	0	0	0
condition-2-ur-5k	123	2	sib200	ur	en	refined	sports	25	16	0.6400	4	0	3	16	2	0	0	0
condition-2-ur-5k	123	2	sib200	ur	en	refined	health	22	10	0.4545	9	0	2	1	10	0	0	0
condition-2-ur-5k	123	2	sib200	ur	en	refined	entertainment	19	6	0.3158	9	1	3	0	0	6	0	0
condition-2-ur-5k	123	2	sib200	ur	en	refined	geography	17	6	0.3529	8	1	2	0	0	0	6	0
condition-2-ur-5k	123	2	sib200	ur	ur	refined	science/technology	51	38	0.7451	38	0	1	0	0	0	0	12
condition-2-ur-5k	123	2	sib200	ur	ur	refined	travel	40	8	0.2000	18	8	8	0	0	0	0	6
condition-2-ur-5k	123	2	sib200	ur	ur	refined	politics	30	28	0.9333	1	0	28	0	0	0	0	1
condition-2-ur-5k	123	2	sib200	ur	ur	refined	sports	25	13	0.5200	2	0	7	13	0	0	1	2
condition-2-ur-5k	123	2	sib200	ur	ur	refined	health	22	2	0.0909	5	0	4	1	2	0	0	10
condition-2-ur-5k	123	2	sib200	ur	ur	refined	entertainment	19	3	0.1579	11	0	3	0	0	3	0	2
condition-2-ur-5k	123	2	sib200	ur	ur	refined	geography	17	4	0.2353	10	0	3	0	0	0	4	0
condition-2-ur-5k	123	2	sib200	zh	en	refined	science/technology	51	47	0.9216	47	0	2	0	0	0	0	2
condition-2-ur-5k	123	2	sib200	zh	en	refined	travel	40	28	0.7000	5	28	6	0	0	0	1	0
condition-2-ur-5k	123	2	sib200	zh	en	refined	politics	30	29	0.9667	0	1	29	0	0	0	0	0
condition-2-ur-5k	123	2	sib200	zh	en	refined	sports	25	16	0.6400	2	0	2	16	4	0	1	0
condition-2-ur-5k	123	2	sib200	zh	en	refined	health	22	9	0.4091	8	0	4	1	9	0	0	0
condition-2-ur-5k	123	2	sib200	zh	en	refined	entertainment	19	5	0.2632	9	0	5	0	0	5	0	0
condition-2-ur-5k	123	2	sib200	zh	en	refined	geography	17	4	0.2353	8	3	2	0	0	0	4	0
condition-2-ur-5k	123	2	sib200	zh	ur	refined	science/technology	51	41	0.8039	41	1	6	0	0	0	0	3
condition-2-ur-5k	123	2	sib200	zh	ur	refined	travel	40	25	0.6250	1	25	10	0	0	0	3	1
condition-2-ur-5k	123	2	sib200	zh	ur	refined	politics	30	30	1.0000	0	0	30	0	0	0	0	0
condition-2-ur-5k	123	2	sib200	zh	ur	refined	sports	25	21	0.8400	0	0	2	21	0	0	2	0
condition-2-ur-5k	123	2	sib200	zh	ur	refined	health	22	6	0.2727	5	0	8	2	6	1	0	0
condition-2-ur-5k	123	2	sib200	zh	ur	refined	entertainment	19	8	0.4211	5	0	5	0	0	8	0	1
condition-2-ur-5k	123	2	sib200	zh	ur	refined	geography	17	10	0.5882	3	1	3	0	0	0	10	0
condition-2-ur-5k	42	1	sib200	en	en	refined	science/technology	51	48	0.9412	48	0	0	0	0	1	0	2
condition-2-ur-5k	42	1	sib200	en	en	refined	travel	40	32	0.8000	8	32	0	0	0	0	0	0
condition-2-ur-5k	42	1	sib200	en	en	refined	politics	30	26	0.8667	3	0	26	0	0	0	1	0
condition-2-ur-5k	42	1	sib200	en	en	refined	sports	25	19	0.7600	1	1	0	19	3	1	0	0
condition-2-ur-5k	42	1	sib200	en	en	refined	health	22	14	0.6364	6	0	0	1	14	0	0	1
condition-2-ur-5k	42	1	sib200	en	en	refined	entertainment	19	12	0.6316	5	2	0	0	0	12	0	0
condition-2-ur-5k	42	1	sib200	en	en	refined	geography	17	7	0.4118	9	1	0	0	0	0	7	0
condition-2-ur-5k	42	1	sib200	en	ur	refined	science/technology	51	30	0.5882	30	0	1	0	0	0	0	20
condition-2-ur-5k	42	1	sib200	en	ur	refined	travel	40	22	0.5500	3	22	0	0	0	0	0	15
condition-2-ur-5k	42	1	sib200	en	ur	refined	politics	30	19	0.6333	1	0	19	0	0	0	1	9
condition-2-ur-5k	42	1	sib200	en	ur	refined	sports	25	18	0.7200	0	1	0	18	1	1	0	4
condition-2-ur-5k	42	1	sib200	en	ur	refined	health	22	3	0.1364	0	0	1	1	3	0	0	17
condition-2-ur-5k	42	1	sib200	en	ur	refined	entertainment	19	10	0.5263	2	0	0	0	0	10	0	7
condition-2-ur-5k	42	1	sib200	en	ur	refined	geography	17	5	0.2941	8	2	0	0	0	0	5	2
condition-2-ur-5k	42	1	sib200	es	en	refined	science/technology	51	36	0.7059	36	1	0	0	0	1	0	13
condition-2-ur-5k	42	1	sib200	es	en	refined	travel	40	31	0.7750	5	31	0	0	3	0	0	1
condition-2-ur-5k	42	1	sib200	es	en	refined	politics	30	27	0.9000	2	1	27	0	0	0	0	0
condition-2-ur-5k	42	1	sib200	es	en	refined	sports	25	19	0.7600	0	2	0	19	3	0	0	1
condition-2-ur-5k	42	1	sib200	es	en	refined	health	22	14	0.6364	5	0	1	1	14	0	0	1
condition-2-ur-5k	42	1	sib200	es	en	refined	entertainment	19	12	0.6316	4	2	0	0	0	12	1	0
condition-2-ur-5k	42	1	sib200	es	en	refined	geography	17	5	0.2941	10	2	0	0	0	0	5	0
condition-2-ur-5k	42	1	sib200	es	ur	refined	science/technology	51	29	0.5686	29	0	0	0	0	0	0	22
condition-2-ur-5k	42	1	sib200	es	ur	refined	travel	40	19	0.4750	3	19	0	0	0	0	0	18
condition-2-ur-5k	42	1	sib200	es	ur	refined	politics	30	20	0.6667	0	0	20	0	0	0	0	10
condition-2-ur-5k	42	1	sib200	es	ur	refined	sports	25	18	0.7200	1	0	0	18	2	0	0	4
condition-2-ur-5k	42	1	sib200	es	ur	refined	health	22	2	0.0909	0	0	1	1	2	0	0	18
condition-2-ur-5k	42	1	sib200	es	ur	refined	entertainment	19	7	0.3684	1	0	0	0	0	7	0	11
condition-2-ur-5k	42	1	sib200	es	ur	refined	geography	17	6	0.3529	8	0	0	0	0	0	6	3
condition-2-ur-5k	42	1	sib200	ur	en	refined	science/technology	51	44	0.8627	44	0	0	0	0	2	0	5
condition-2-ur-5k	42	1	sib200	ur	en	refined	travel	40	20	0.5000	16	20	2	0	2	0	0	0
condition-2-ur-5k	42	1	sib200	ur	en	refined	politics	30	24	0.8000	6	0	24	0	0	0	0	0
condition-2-ur-5k	42	1	sib200	ur	en	refined	sports	25	16	0.6400	5	0	0	16	4	0	0	0
condition-2-ur-5k	42	1	sib200	ur	en	refined	health	22	13	0.5909	6	0	1	0	13	0	0	2
condition-2-ur-5k	42	1	sib200	ur	en	refined	entertainment	19	13	0.6842	5	1	0	0	0	13	0	0
condition-2-ur-5k	42	1	sib200	ur	en	refined	geography	17	6	0.3529	11	0	0	0	0	0	6	0
condition-2-ur-5k	42	1	sib200	ur	ur	refined	science/technology	51	40	0.7843	40	0	0	0	0	0	0	11
condition-2-ur-5k	42	1	sib200	ur	ur	refined	travel	40	7	0.1750	11	7	0	0	0	0	0	22
condition-2-ur-5k	42	1	sib200	ur	ur	refined	politics	30	14	0.4667	12	0	14	0	0	0	0	4
condition-2-ur-5k	42	1	sib200	ur	ur	refined	sports	25	13	0.5200	6	1	0	13	2	0	0	3
condition-2-ur-5k	42	1	sib200	ur	ur	refined	health	22	1	0.0455	3	0	1	1	1	0	0	16
condition-2-ur-5k	42	1	sib200	ur	ur	refined	entertainment	19	2	0.1053	12	0	0	0	0	2	0	5
condition-2-ur-5k	42	1	sib200	ur	ur	refined	geography	17	1	0.0588	11	1	1	0	0	0	1	3
condition-2-ur-5k	42	1	sib200	zh	en	refined	science/technology	51	41	0.8039	41	1	0	0	0	0	0	9
condition-2-ur-5k	42	1	sib200	zh	en	refined	travel	40	31	0.7750	6	31	0	0	3	0	0	0
condition-2-ur-5k	42	1	sib200	zh	en	refined	politics	30	27	0.9000	2	1	27	0	0	0	0	0
condition-2-ur-5k	42	1	sib200	zh	en	refined	sports	25	17	0.6800	2	1	0	17	5	0	0	0
condition-2-ur-5k	42	1	sib200	zh	en	refined	health	22	15	0.6818	6	0	0	1	15	0	0	0
condition-2-ur-5k	42	1	sib200	zh	en	refined	entertainment	19	14	0.7368	3	1	0	0	0	14	0	1
condition-2-ur-5k	42	1	sib200	zh	en	refined	geography	17	2	0.1176	13	2	0	0	0	0	2	0
condition-2-ur-5k	42	1	sib200	zh	ur	refined	science/technology	51	31	0.6078	31	1	1	0	0	0	0	18
condition-2-ur-5k	42	1	sib200	zh	ur	refined	travel	40	32	0.8000	3	32	0	0	0	0	1	4
condition-2-ur-5k	42	1	sib200	zh	ur	refined	politics	30	27	0.9000	0	0	27	0	0	0	1	2
condition-2-ur-5k	42	1	sib200	zh	ur	refined	sports	25	21	0.8400	0	1	1	21	1	0	0	1
condition-2-ur-5k	42	1	sib200	zh	ur	refined	health	22	5	0.2273	0	0	2	2	5	0	0	13
condition-2-ur-5k	42	1	sib200	zh	ur	refined	entertainment	19	13	0.6842	2	0	0	0	0	13	0	4
condition-2-ur-5k	42	1	sib200	zh	ur	refined	geography	17	4	0.2353	9	0	1	0	0	0	4	3
condition-2-ur-5k	42	2	sib200	en	en	refined	science/technology	51	50	0.9804	50	0	1	0	0	0	0	0
condition-2-ur-5k	42	2	sib200	en	en	refined	travel	40	29	0.7250	7	29	4	0	0	0	0	0
condition-2-ur-5k	42	2	sib200	en	en	refined	politics	30	30	1.0000	0	0	30	0	0	0	0	0
condition-2-ur-5k	42	2	sib200	en	en	refined	sports	25	15	0.6000	4	1	4	15	1	0	0	0
condition-2-ur-5k	42	2	sib200	en	en	refined	health	22	5	0.2273	15	0	1	1	5	0	0	0
condition-2-ur-5k	42	2	sib200	en	en	refined	entertainment	19	3	0.1579	12	2	2	0	0	3	0	0
condition-2-ur-5k	42	2	sib200	en	en	refined	geography	17	9	0.5294	8	0	0	0	0	0	9	0
condition-2-ur-5k	42	2	sib200	en	ur	refined	science/technology	51	40	0.7843	40	1	1	0	0	0	1	8
condition-2-ur-5k	42	2	sib200	en	ur	refined	travel	40	31	0.7750	0	31	1	0	0	0	4	4
condition-2-ur-5k	42	2	sib200	en	ur	refined	politics	30	27	0.9000	0	0	27	0	0	0	1	2
condition-2-ur-5k	42	2	sib200	en	ur	refined	sports	25	14	0.5600	0	1	5	14	0	0	0	5
condition-2-ur-5k	42	2	sib200	en	ur	refined	health	22	8	0.3636	9	0	2	1	8	0	0	2
condition-2-ur-5k	42	2	sib200	en	ur	refined	entertainment	19	6	0.3158	3	3	2	0	0	6	1	4
condition-2-ur-5k	42	2	sib200	en	ur	refined	geography	17	14	0.8235	3	0	0	0	0	0	14	0
condition-2-ur-5k	42	2	sib200	es	en	refined	science/technology	51	50	0.9804	50	0	1	0	0	0	0	0
condition-2-ur-5k	42	2	sib200	es	en	refined	travel	40	25	0.6250	8	25	7	0	0	0	0	0
condition-2-ur-5k	42	2	sib200	es	en	refined	politics	30	30	1.0000	0	0	30	0	0	0	0	0
condition-2-ur-5k	42	2	sib200	es	en	refined	sports	25	14	0.5600	5	1	3	14	2	0	0	0
condition-2-ur-5k	42	2	sib200	es	en	refined	health	22	6	0.2727	14	0	1	1	6	0	0	0
condition-2-ur-5k	42	2	sib200	es	en	refined	entertainment	19	3	0.1579	9	1	5	0	0	3	1	0
condition-2-ur-5k	42	2	sib200	es	en	refined	geography	17	6	0.3529	10	1	0	0	0	0	6	0
condition-2-ur-5k	42	2	sib200	es	ur	refined	science/technology	51	42	0.8235	42	1	2	0	0	0	0	6
condition-2-ur-5k	42	2	sib200	es	ur	refined	travel	40	25	0.6250	5	25	2	0	0	0	1	7
condition-2-ur-5k	42	2	sib200	es	ur	refined	politics	30	27	0.9000	0	0	27	0	0	0	0	3
condition-2-ur-5k	42	2	sib200	es	ur	refined	sports	25	18	0.7200	0	0	3	18	1	0	1	2
condition-2-ur-5k	42	2	sib200	es	ur	refined	health	22	6	0.2727	9	0	3	1	6	0	0	3
condition-2-ur-5k	42	2	sib200	es	ur	refined	entertainment	19	4	0.2105	4	1	3	0	0	4	1	6
condition-2-ur-5k	42	2	sib200	es	ur	refined	geography	17	11	0.6471	6	0	0	0	0	0	11	0
condition-2-ur-5k	42	2	sib200	ur	en	refined	science/technology	51	49	0.9608	49	0	2	0	0	0	0	0
condition-2-ur-5k	42	2	sib200	ur	en	refined	travel	40	21	0.5250	10	21	9	0	0	0	0	0
condition-2-ur-5k	42	2	sib200	ur	en	refined	politics	30	29	0.9667	1	0	29	0	0	0	0	0
condition-2-ur-5k	42	2	sib200	ur	en	refined	sports	25	15	0.6000	5	0	2	15	3	0	0	0
condition-2-ur-5k	42	2	sib200	ur	en	refined	health	22	9	0.4091	9	0	3	1	9	0	0	0
condition-2-ur-5k	42	2	sib200	ur	en	refined	entertainment	19	4	0.2105	9	2	4	0	0	4	0	0
condition-2-ur-5k	42	2	sib200	ur	en	refined	geography	17	6	0.3529	8	1	2	0	0	0	6	0
condition-2-ur-5k	42	2	sib200	ur	ur	refined	science/technology	51	41	0.8039	41	0	1	0	0	0	0	9
condition-2-ur-5k	42	2	sib200	ur	ur	refined	travel	40	5	0.1250	21	5	6	0	0	0	0	8
condition-2-ur-5k	42	2	sib200	ur	ur	refined	politics	30	28	0.9333	1	0	28	0	0	0	0	1
condition-2-ur-5k	42	2	sib200	ur	ur	refined	sports	25	11	0.4400	2	0	7	11	0	0	2	3
condition-2-ur-5k	42	2	sib200	ur	ur	refined	health	22	5	0.2273	6	0	3	1	5	0	0	7
condition-2-ur-5k	42	2	sib200	ur	ur	refined	entertainment	19	2	0.1053	11	0	4	0	0	2	0	2
condition-2-ur-5k	42	2	sib200	ur	ur	refined	geography	17	2	0.1176	12	0	3	0	0	0	2	0
condition-2-ur-5k	42	2	sib200	zh	en	refined	science/technology	51	47	0.9216	47	0	2	0	0	0	0	2
condition-2-ur-5k	42	2	sib200	zh	en	refined	travel	40	27	0.6750	6	27	6	0	0	0	1	0
condition-2-ur-5k	42	2	sib200	zh	en	refined	politics	30	29	0.9667	0	1	29	0	0	0	0	0
condition-2-ur-5k	42	2	sib200	zh	en	refined	sports	25	18	0.7200	2	0	2	18	2	0	1	0
condition-2-ur-5k	42	2	sib200	zh	en	refined	health	22	8	0.3636	10	0	3	1	8	0	0	0
condition-2-ur-5k	42	2	sib200	zh	en	refined	entertainment	19	5	0.2632	8	0	5	0	0	5	1	0
condition-2-ur-5k	42	2	sib200	zh	en	refined	geography	17	5	0.2941	7	3	2	0	0	0	5	0
condition-2-ur-5k	42	2	sib200	zh	ur	refined	science/technology	51	41	0.8039	41	1	4	0	0	0	0	5
condition-2-ur-5k	42	2	sib200	zh	ur	refined	travel	40	26	0.6500	2	26	9	0	0	0	1	2
condition-2-ur-5k	42	2	sib200	zh	ur	refined	politics	30	29	0.9667	0	0	29	0	0	0	0	1
condition-2-ur-5k	42	2	sib200	zh	ur	refined	sports	25	19	0.7600	1	0	3	19	0	0	1	1
condition-2-ur-5k	42	2	sib200	zh	ur	refined	health	22	6	0.2727	4	0	7	2	6	0	0	3
condition-2-ur-5k	42	2	sib200	zh	ur	refined	entertainment	19	7	0.3684	5	0	5	0	0	7	0	2
condition-2-ur-5k	42	2	sib200	zh	ur	refined	geography	17	8	0.4706	7	0	2	0	0	0	8	0
condition-2-ur-5k	456	1	sib200	en	en	refined	science/technology	51	48	0.9412	48	0	0	0	0	1	0	2
condition-2-ur-5k	456	1	sib200	en	en	refined	travel	40	32	0.8000	8	32	0	0	0	0	0	0
condition-2-ur-5k	456	1	sib200	en	en	refined	politics	30	26	0.8667	3	0	26	0	0	0	1	0
condition-2-ur-5k	456	1	sib200	en	en	refined	sports	25	19	0.7600	1	1	0	19	3	1	0	0
condition-2-ur-5k	456	1	sib200	en	en	refined	health	22	15	0.6818	6	0	0	1	15	0	0	0
condition-2-ur-5k	456	1	sib200	en	en	refined	entertainment	19	12	0.6316	5	2	0	0	0	12	0	0
condition-2-ur-5k	456	1	sib200	en	en	refined	geography	17	7	0.4118	9	1	0	0	0	0	7	0
condition-2-ur-5k	456	1	sib200	en	ur	refined	science/technology	51	38	0.7451	38	0	0	0	0	0	0	13
condition-2-ur-5k	456	1	sib200	en	ur	refined	travel	40	26	0.6500	5	26	0	0	0	0	1	8
condition-2-ur-5k	456	1	sib200	en	ur	refined	politics	30	22	0.7333	2	0	22	0	0	0	1	5
condition-2-ur-5k	456	1	sib200	en	ur	refined	sports	25	18	0.7200	0	1	0	18	2	1	0	3
condition-2-ur-5k	456	1	sib200	en	ur	refined	health	22	3	0.1364	0	0	1	1	3	0	0	17
condition-2-ur-5k	456	1	sib200	en	ur	refined	entertainment	19	8	0.4211	2	1	0	0	0	8	0	8
condition-2-ur-5k	456	1	sib200	en	ur	refined	geography	17	4	0.2353	7	2	0	0	0	0	4	4
condition-2-ur-5k	456	1	sib200	es	en	refined	science/technology	51	43	0.8431	43	1	0	0	0	1	0	6
condition-2-ur-5k	456	1	sib200	es	en	refined	travel	40	30	0.7500	6	30	0	0	4	0	0	0
condition-2-ur-5k	456	1	sib200	es	en	refined	politics	30	28	0.9333	1	1	28	0	0	0	0	0
condition-2-ur-5k	456	1	sib200	es	en	refined	sports	25	18	0.7200	1	3	0	18	3	0	0	0
condition-2-ur-5k	456	1	sib200	es	en	refined	health	22	15	0.6818	4	0	1	1	15	0	0	1
condition-2-ur-5k	456	1	sib200	es	en	refined	entertainment	19	12	0.6316	4	2	0	0	0	12	1	0
condition-2-ur-5k	456	1	sib200	es	en	refined	geography	17	5	0.2941	10	2	0	0	0	0	5	0
condition-2-ur-5k	456	1	sib200	es	ur	refined	science/technology	51	40	0.7843	40	0	0	0	0	0	0	11
condition-2-ur-5k	456	1	sib200	es	ur	refined	travel	40	21	0.5250	7	21	0	0	0	0	0	12
condition-2-ur-5k	456	1	sib200	es	ur	refined	politics	30	21	0.7000	3	1	21	0	0	0	0	5
condition-2-ur-5k	456	1	sib200	es	ur	refined	sports	25	16	0.6400	1	1	2	16	3	0	0	2
condition-2-ur-5k	456	1	sib200	es	ur	refined	health	22	2	0.0909	0	0	1	1	2	0	0	18
condition-2-ur-5k	456	1	sib200	es	ur	refined	entertainment	19	3	0.1579	7	1	1	0	0	3	0	7
condition-2-ur-5k	456	1	sib200	es	ur	refined	geography	17	5	0.2941	8	0	0	0	0	0	5	4
condition-2-ur-5k	456	1	sib200	ur	en	refined	science/technology	51	47	0.9216	47	0	0	0	0	2	0	2
condition-2-ur-5k	456	1	sib200	ur	en	refined	travel	40	21	0.5250	15	21	2	0	2	0	0	0
condition-2-ur-5k	456	1	sib200	ur	en	refined	politics	30	24	0.8000	6	0	24	0	0	0	0	0
condition-2-ur-5k	456	1	sib200	ur	en	refined	sports	25	16	0.6400	4	0	0	16	5	0	0	0
condition-2-ur-5k	456	1	sib200	ur	en	refined	health	22	14	0.6364	7	0	1	0	14	0	0	0
condition-2-ur-5k	456	1	sib200	ur	en	refined	entertainment	19	14	0.7368	5	0	0	0	0	14	0	0
condition-2-ur-5k	456	1	sib200	ur	en	refined	geography	17	6	0.3529	11	0	0	0	0	0	6	0
condition-2-ur-5k	456	1	sib200	ur	ur	refined	science/technology	51	39	0.7647	39	0	0	0	0	0	0	12
condition-2-ur-5k	456	1	sib200	ur	ur	refined	travel	40	17	0.4250	6	17	0	0	1	0	0	16
condition-2-ur-5k	456	1	sib200	ur	ur	refined	politics	30	15	0.5000	9	0	15	0	0	0	0	6
condition-2-ur-5k	456	1	sib200	ur	ur	refined	sports	25	12	0.4800	5	1	0	12	3	0	0	4
condition-2-ur-5k	456	1	sib200	ur	ur	refined	health	22	2	0.0909	1	0	1	1	2	0	0	17
condition-2-ur-5k	456	1	sib200	ur	ur	refined	entertainment	19	2	0.1053	9	0	1	0	0	2	0	7
condition-2-ur-5k	456	1	sib200	ur	ur	refined	geography	17	4	0.2353	11	1	0	0	0	0	4	1
condition-2-ur-5k	456	1	sib200	zh	en	refined	science/technology	51	45	0.8824	45	1	0	0	0	0	0	5
condition-2-ur-5k	456	1	sib200	zh	en	refined	travel	40	31	0.7750	6	31	0	0	3	0	0	0
condition-2-ur-5k	456	1	sib200	zh	en	refined	politics	30	27	0.9000	2	1	27	0	0	0	0	0
condition-2-ur-5k	456	1	sib200	zh	en	refined	sports	25	17	0.6800	2	1	0	17	5	0	0	0
condition-2-ur-5k	456	1	sib200	zh	en	refined	health	22	16	0.7273	5	0	0	1	16	0	0	0
condition-2-ur-5k	456	1	sib200	zh	en	refined	entertainment	19	14	0.7368	3	1	0	0	0	14	0	1
condition-2-ur-5k	456	1	sib200	zh	en	refined	geography	17	2	0.1176	13	2	0	0	0	0	2	0
condition-2-ur-5k	456	1	sib200	zh	ur	refined	science/technology	51	40	0.7843	40	0	1	0	0	0	0	10
condition-2-ur-5k	456	1	sib200	zh	ur	refined	travel	40	32	0.8000	5	32	0	0	0	0	1	2
condition-2-ur-5k	456	1	sib200	zh	ur	refined	politics	30	26	0.8667	1	0	26	0	0	0	1	2
condition-2-ur-5k	456	1	sib200	zh	ur	refined	sports	25	17	0.6800	0	2	2	17	2	0	0	2
condition-2-ur-5k	456	1	sib200	zh	ur	refined	health	22	9	0.4091	0	0	1	1	9	0	0	11
condition-2-ur-5k	456	1	sib200	zh	ur	refined	entertainment	19	10	0.5263	7	1	0	0	0	10	0	1
condition-2-ur-5k	456	1	sib200	zh	ur	refined	geography	17	4	0.2353	11	0	1	0	0	0	4	1
condition-2-ur-5k	456	2	sib200	en	en	refined	science/technology	51	50	0.9804	50	0	1	0	0	0	0	0
condition-2-ur-5k	456	2	sib200	en	en	refined	travel	40	29	0.7250	7	29	4	0	0	0	0	0
condition-2-ur-5k	456	2	sib200	en	en	refined	politics	30	30	1.0000	0	0	30	0	0	0	0	0
condition-2-ur-5k	456	2	sib200	en	en	refined	sports	25	16	0.6400	3	1	4	16	1	0	0	0
condition-2-ur-5k	456	2	sib200	en	en	refined	health	22	6	0.2727	14	0	1	1	6	0	0	0
condition-2-ur-5k	456	2	sib200	en	en	refined	entertainment	19	3	0.1579	11	2	3	0	0	3	0	0
condition-2-ur-5k	456	2	sib200	en	en	refined	geography	17	8	0.4706	9	0	0	0	0	0	8	0
condition-2-ur-5k	456	2	sib200	en	ur	refined	science/technology	51	40	0.7843	40	1	1	0	0	0	1	8
condition-2-ur-5k	456	2	sib200	en	ur	refined	travel	40	30	0.7500	1	30	1	0	0	0	3	5
condition-2-ur-5k	456	2	sib200	en	ur	refined	politics	30	27	0.9000	1	0	27	0	0	0	1	1
condition-2-ur-5k	456	2	sib200	en	ur	refined	sports	25	15	0.6000	0	1	5	15	0	0	0	4
condition-2-ur-5k	456	2	sib200	en	ur	refined	health	22	7	0.3182	7	0	2	1	7	0	0	5
condition-2-ur-5k	456	2	sib200	en	ur	refined	entertainment	19	6	0.3158	3	2	2	0	0	6	1	5
condition-2-ur-5k	456	2	sib200	en	ur	refined	geography	17	13	0.7647	4	0	0	0	0	0	13	0
condition-2-ur-5k	456	2	sib200	es	en	refined	science/technology	51	50	0.9804	50	0	1	0	0	0	0	0
condition-2-ur-5k	456	2	sib200	es	en	refined	travel	40	25	0.6250	8	25	7	0	0	0	0	0
condition-2-ur-5k	456	2	sib200	es	en	refined	politics	30	30	1.0000	0	0	30	0	0	0	0	0
condition-2-ur-5k	456	2	sib200	es	en	refined	sports	25	15	0.6000	4	2	2	15	2	0	0	0
condition-2-ur-5k	456	2	sib200	es	en	refined	health	22	6	0.2727	14	0	1	1	6	0	0	0
condition-2-ur-5k	456	2	sib200	es	en	refined	entertainment	19	3	0.1579	9	1	5	0	0	3	1	0
condition-2-ur-5k	456	2	sib200	es	en	refined	geography	17	6	0.3529	10	1	0	0	0	0	6	0
condition-2-ur-5k	456	2	sib200	es	ur	refined	science/technology	51	45	0.8824	45	1	2	0	0	0	0	3
condition-2-ur-5k	456	2	sib200	es	ur	refined	travel	40	24	0.6000	6	24	2	0	0	0	1	7
